,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour general,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,Fed liquidity
30/04/2005,43.20818071,32.51488095,78.29301075,50.72751323,39.88095238,56.14919355,79.1005291,35.64213564,61.15079365,76.07709751,66.93409248,46.92540323,76.70250896,65.1034151,52.20430108,69.13156288,54.81630824,53.52368498,67.80045351,70.43010753,71.73835125,78.04147465,62.3655914,56.38248848,42.37536657
31/05/2005,40.15925481,28.80859375,70.55224868,49.43576389,44.61495536,34.26587302,49.08854167,39.96803977,65.97005208,75.48828125,67.65455163,51.02926587,82.62786596,62.76041667,64.28571429,60.69711538,58.70811287,57.47890748,53.34821429,61.24338624,71.27865961,72.99319728,67.39417989,57.43764172,39.53823954
30/06/2005,53.72781065,25.45673077,61.10026042,54.14529915,45.65934066,42.8125,69.23076923,52.29020979,64.32051282,78.72252747,71.64715719,49.68261719,64.40972222,57.80885781,56.09375,55.30325444,53.58072917,47.65625,42.30769231,42.64322917,70.04340278,67.66741071,40.625,55.49107143,30.75284091
31/07/2005,58.71212121,26.30208333,69.375,59.4486532,56.03354978,49.11538462,81.18686869,54.71763085,65.73232323,81.50703463,76.34222661,59.53125,74.78632479,57.00183655,53.48717949,66.91433566,40.85470085,43.41649342,43.29004329,39.83974359,63.53846154,63.93406593,38.60576923,52.12087912,35.87412587
31/08/2005,46.75660161,19.44962687,57.13383838,62.52072968,56.10341151,51.78030303,74.50248756,42.87652646,67.54975124,82.12953092,76.65476963,57.32717803,67.42424242,58.66123926,64.09090909,68.9293915,57.61784512,46.02784603,57.24946695,53.91414141,61.44360269,68.73376623,44.88636364,54.5021645,33.815427
30/09/2005,25.56561086,27.75735294,56.28109453,60.31454248,39.72886029,49.6641791,62.00980392,12.03208556,55.15931373,76.47058824,70.93190537,49.63852612,75.45605307,52.87433155,65.02487562,71.32352941,50.04145937,49.39491731,83.71848739,62.99751244,61.09038143,70.35181237,43.19029851,56.37526652,43.01221167
31/10/2005,25.7664437,24.86413043,40.08884804,63.60708535,45.42572464,39.26470588,51.57004831,13.0599473,58.61111111,74.31418219,64.9968494,51.42463235,83.66013072,54.6113307,65.04901961,79.29208473,56.29084967,54.79597244,63.83712905,71.07843137,56.33986928,70.42016807,42.12622549,53.82352941,42.61363636
30/11/2005,41.03021978,29.77678571,51.50966184,60.07936508,37.70089286,63.42391304,52.14285714,29.9512987,54.5952381,76.76020408,70.22515528,37.66983696,93.07568438,56.1038961,58.30917874,80.3228022,60.72866345,54.51756104,71.53061224,64.43236715,50.99838969,74.34782609,44.41425121,56.873706,28.52437418
31/12/2005,54.76706392,20.4665493,54.0327381,60.23082942,43.9040493,47.51785714,40.14084507,53.6971831,62.32981221,79.59004024,71.88456828,43.88392857,83.57142857,54.99359795,60.23809524,75.33179848,62.28174603,56.1003861,46.4453387,58.54166667,47.41269841,78.08163265,40.0297619,61.12244898,34.80519481
31/01/2006,51.96314103,16.796875,64.407277,55.82561728,35.39496528,43.94366197,54.97685185,55.05050505,70.46296296,79.74950397,71.35416667,23.65757042,73.86541471,55.78703704,49.43661972,71.52110043,55.02738654,53.14046441,52.74470899,52.23004695,40.12519562,79.82897384,39.4806338,62.16297787,47.24711908
28/02/2006,51.71232877,16.26712329,60.27199074,58.29528158,39.57619863,40.85069444,55.93607306,43.11955168,65.06849315,79.94129159,72.36450268,40.4296875,91.82098765,50.83022001,52.17592593,71.6938883,58.25617284,53.27827828,45.82517939,51.01273148,39.66049383,75.25793651,43.75,62.91666667,32.95454545
31/03/2006,52.5987526,28.80067568,48.35901826,56.98198198,33.50929054,49.77739726,56.08108108,58.50737101,67.20157658,82.4203668,75.8666275,29.36643836,82.80060883,57.41195741,49.17808219,75.46777547,62.89954338,51.24028138,28.44272844,38.18493151,37.40487062,77.6223092,46.86073059,61.34050881,37.85803238
30/04/2006,50.57692308,35.33333333,58.57263514,45.62962963,49.3125,40.27027027,51.88888889,57.28787879,67.70555556,80.88095238,74.65217391,29.52913851,77.62762763,54.44444444,48.33333333,75.74358974,63.92642643,53.67056245,57.11111111,30.85585586,34.1966967,77.80888031,46.70608108,63.41698842,31.57248157
